chercheur_id,article_id,raw_pub_id
fsbm_mostafa_oukassou,art_00275,fsbm_mostafa_oukassou::oa:W4416795375
fsbm_omar_tanane,art_00276,fsbm_omar_tanane::oa:W2013796542
fsbm_soumia_belouafa,art_00277,fsbm_soumia_belouafa::oa:W2769087532
fsbm_mohamed_talea,art_00278,fsbm_mohamed_talea::oa:W2898992891
fsbm_mohamed_talea,art_00279,fsbm_mohamed_talea::oa:W3123302495
fsbm_mostafa_oukassou,art_00280,fsbm_mostafa_oukassou::oa:W2896858040
fsbm_tarik_chafiq,art_00281,fsbm_tarik_chafiq::oa:W4391514308
fsbm_mohamed_ghazouani,art_00282,fsbm_mohamed_ghazouani::oa:W2946650225
fsbm_mohamed_ghazouani,art_00283,fsbm_mohamed_ghazouani::oa:W4283694299
fsbm_rachida_moultif,art_00284,fsbm_rachida_moultif::oa:W4220677963
fsbm_elhabib_benlahmar,art_00285,fsbm_elhabib_benlahmar::oa:W3196405387
fsbm_loubna_benidire,art_00286,fsbm_loubna_benidire::oa:W2912576139
fsbm_loubna_benidire,art_00287,fsbm_loubna_benidire::oa:W4281797546
fsbm_fouad_damiri,art_00288,fsbm_fouad_damiri::oa:W4411471057
fsbm_abdelmjid_abourriche,art_00289,fsbm_abdelmjid_abourriche::oa:W2324818066
fsbm_bouchra_aharmim,art_00290,fsbm_bouchra_aharmim::oa:W1972259155
fsbm_abdenbi_khouaja,art_00291,fsbm_abdenbi_khouaja::oa:W4411795939
